date,teamAbbrv,pitcher_name,throws,win,loss,tie,finished5
2024-03-31,CHC,Jordan Wicks,R,0,0,1,0
2024-04-03,WSH,Trevor Williams,R,1,0,0,1
2024-04-03,PIT,Mitch Keller,R,0,1,0,1
2024-03-30,HOU,Hunter Brown,R,1,0,0,0
2024-03-30,NYY,Marcus Stroman,R,0,1,0,1
2024-03-28,TEX,Nathan Eovaldi,R,0,0,1,1
2024-03-28,CHC,Justin Steele,R,0,0,1,0
2024-04-03,HOU,Cristian Javier,R,1,0,0,1
2024-04-03,TOR,Chris Bassitt,R,0,1,0,0
2024-03-30,LAD,Yoshinobu Yamamoto,R,1,0,0,1
2024-03-30,STL,Lance Lynn,L,0,1,0,0
2024-04-04,STL,Lance Lynn,L,0,1,0,0
2024-04-04,MIA,Ryan Weathers,L,1,0,0,1
2024-04-02,AZ,Zac Gallen,R,1,0,0,1
2024-04-02,NYY,Nestor Cortes,L,0,1,0,1
2024-04-04,MIN,Pablo López,R,0,1,0,1
2024-04-04,CLE,Tanner Bibee,R,1,0,0,1
2024-04-01,MIA,Max Meyer,R,1,0,0,1
2024-04-01,LAA,Chase Silseth,L,0,1,0,0
2024-04-01,PHI,Cristopher Sánchez,L,1,0,0,1
2024-04-01,CIN,Andrew Abbott,L,0,1,0,1
2024-04-04,NYM,Adrian Houser,R,1,0,0,1
2024-04-04,DET,Casey Mize,L,0,1,0,0
2024-04-04,KC,Seth Lugo,R,1,0,0,1
2024-04-04,CWS,Michael Soroka,R,0,1,0,1
